"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"1705150",12164448,"JD365743","09/13/2020 01:00:00 AM","006XX W KINZIE ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false",1214,12,42,24,"07",1172152,1902914,2020,"09/20/2020 03:48:20 PM",41.889046347,-87.643240599,"(41.889046347, -87.643240599)"
"5118133",5560384,"HN371013","05/29/2007 01:50:00 AM","042XX N MEADE AVE","0820","THEFT","$500 AND UNDER","STREET","false","false",1624,16,38,15,"06",1134923,1927588,2007,"02/28/2018 03:56:25 PM",41.957494894,-87.779376294,"(41.957494894, -87.779376294)"
"6566267",7905127,"HT135129","01/25/2011 03:00:00 PM","015XX N MASSASOIT AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","RESIDENTIAL YARD (FRONT/BACK)","false","false",2531,25,29,25,"14",1137728,1909586,2011,"02/04/2016 06:33:39 AM",41.908045253,-87.769499285,"(41.908045253, -87.769499285)"
"1238715",11459618,"JB452889","09/27/2018 11:00:00 AM","022XX E 100TH ST","0560","ASSAULT","SIMPLE","SIDEWALK","false","false",431,4,7,51,"08A",1192586,1839095,2018,"10/04/2018 04:18:00 PM",41.713447767,-87.570280938,"(41.713447767, -87.570280938)"
"3665639",3198526,"HK206953","02/27/2004 01:24:20 AM","033XX N MONTICELLO AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","false",1732,17,35,21,"14",1151467,1921986,2004,"02/28/2018 03:56:25 PM",41.941813012,-87.718702332,"(41.941813012, -87.718702332)"
"4628241",4690863,"HM291160","04/14/2006 06:50:00 PM","019XX S WELLS ST","0820","THEFT","$500 AND UNDER","STREET","false","false",2111,9,25,34,"06",1175045,1890734,2006,"02/28/2018 03:56:25 PM",41.855559311,-87.632981425,"(41.855559311, -87.632981425)"
"4694891",4794067,"HM406263","06/10/2006 07:45:00 PM","034XX W ADDISON ST","0860","THEFT","RETAIL THEFT","DEPARTMENT STORE","true","false",1732,17,35,21,"06",1152637,1923718,2006,"02/28/2018 03:56:25 PM",41.946542649,-87.714356095,"(41.946542649, -87.714356095)"
"5224202",5728922,"HN531512","08/15/2007 07:45:00 PM","075XX S VERNON AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","false",624,6,6,69,"14",1180551,1855116,2007,"02/28/2018 03:56:25 PM",41.757695515,-87.613866443,"(41.757695515, -87.613866443)"
"4372552",4288469,"HL598331","09/08/2005 12:03:21 AM","060XX S MARSHFIELD AVE","051A","ASSAULT","AGGRAVATED: HANDGUN","SIDEWALK","false","false",714,7,15,67,"04A",1166376,1864619,2005,"02/28/2018 03:56:25 PM",41.784086563,-87.665545584,"(41.784086563, -87.665545584)"
"6473872",7756195,"HS564257","10/14/2010 03:19:00 PM","041XX W JACKSON BLVD","0460","BATTERY","SIMPLE","SIDEWALK","true","false",1115,11,28,26,"08B",1148795,1898364,2010,"02/10/2018 03:50:01 PM",41.877044066,-87.729134707,"(41.877044066, -87.729134707)"
"3448360",2920854,"HJ601825","09/02/2003 12:31:00 AM","064XX S EVANS AVE","0610","BURGLARY","FORCIBLE ENTRY","RESIDENCE PORCH/HALLWAY","false","false",312,3,20,42,"05",1182327,1862466,2003,"02/28/2018 03:56:25 PM",41.777823699,-87.60713026,"(41.777823699, -87.60713026)"
"7733393",9801310,"HX450563","10/01/2014 07:42:00 AM","064XX S DR MARTIN LUTHER KING JR DR","143A","WEAPONS VIOLATION","UNLAWFUL POSS OF HANDGUN","APARTMENT","false","false",312,3,20,69,"15",1180027,1862432,2014,"02/10/2018 03:50:01 PM",41.777783389,-87.615563072,"(41.777783389, -87.615563072)"
"2877581",2195468,"HH450528","06/18/2002 01:40:00 PM","032XX N LECLAIRE AVE","0460","BATTERY","SIMPLE","SCHOOL, PUBLIC, BUILDING","false","false",1634,16,30,15,"08B",1141792,1921221,2002,"02/10/2018 03:50:01 PM",41.939898633,-87.754281422,"(41.939898633, -87.754281422)"
"6011173",7034245,"HR441223","07/21/2009 06:30:00 PM","118XX S LAFLIN ST","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","false",524,5,34,53,"14",1168465,1826211,2009,"02/28/2018 03:56:25 PM",41.678644613,-87.65898977,"(41.678644613, -87.65898977)"
